"","GEOID","COUNTY_ALPHA","STATE_ALPHA","YEAR","category","proportion"
"38","06057","NEVADA","CALIFORNIA",2018,"Condition of crop",24.79
"39","06059","ORANGE","CALIFORNIA",2018,"Condition of crop",47.18
"40","06061","PLACER","CALIFORNIA",2018,"Condition of crop",38.11
"41","06065","RIVERSIDE","CALIFORNIA",2018,"Condition of crop",41.9
"42","06067","SACRAMENTO","CALIFORNIA",2018,"Condition of crop",33.18
"43","06069","SAN BENITO","CALIFORNIA",2018,"Condition of crop",43.07
"44","06071","SAN BERNARDINO","CALIFORNIA",2018,"Condition of crop",26.78
"45","06073","SAN DIEGO","CALIFORNIA",2018,"Condition of crop",35.88
"46","06077","SAN JOAQUIN","CALIFORNIA",2018,"Condition of crop",35.63
"47","06079","SAN LUIS OBISPO","CALIFORNIA",2018,"Condition of crop",42.22
"48","06081","SAN MATEO","CALIFORNIA",2018,"Condition of crop",41.51
"49","06083","SANTA BARBARA","CALIFORNIA",2018,"Condition of crop",38.8
"50","06085","SANTA CLARA","CALIFORNIA",2018,"Condition of crop",53.4
"51","06087","SANTA CRUZ","CALIFORNIA",2018,"Condition of crop",41.99
"52","06089","SHASTA","CALIFORNIA",2018,"Condition of crop",35.29
"53","06093","SISKIYOU","CALIFORNIA",2018,"Condition of crop",31.81
"54","06095","SOLANO","CALIFORNIA",2018,"Condition of crop",36.77
"55","06097","SONOMA","CALIFORNIA",2018,"Condition of crop",45.02
"56","06099","STANISLAUS","CALIFORNIA",2018,"Condition of crop",30.12
"57","06101","SUTTER","CALIFORNIA",2018,"Condition of crop",38.55
"58","06103","TEHAMA","CALIFORNIA",2018,"Condition of crop",29.3
"59","06107","TULARE","CALIFORNIA",2018,"Condition of crop",34.2
"60","06109","TUOLUMNE","CALIFORNIA",2018,"Condition of crop",49.09
"61","06111","VENTURA","CALIFORNIA",2018,"Condition of crop",31.11
"62","06113","YOLO","CALIFORNIA",2018,"Condition of crop",34
"63","06115","YUBA","CALIFORNIA",2018,"Condition of crop",34.6
"64","08001","ADAMS","COLORADO",2018,"Condition of crop",32.83
"65","08003","ALAMOSA","COLORADO",2018,"Condition of crop",31.96
"66","08007","ARCHULETA","COLORADO",2018,"Condition of crop",29.83
"67","08013","BOULDER","COLORADO",2018,"Condition of crop",31.81
"68","08021","CONEJOS","COLORADO",2018,"Condition of crop",20.21
"69","08029","DELTA","COLORADO",2018,"Condition of crop",31.84
"70","08039","ELBERT","COLORADO",2018,"Condition of crop",66.21
"71","08041","EL PASO","COLORADO",2018,"Condition of crop",47.92
"72","08043","FREMONT","COLORADO",2018,"Condition of crop",18.63
"73","08045","GARFIELD","COLORADO",2018,"Condition of crop",28.82
"74","08049","GRAND","COLORADO",2018,"Condition of crop",41.92
"75","08051","GUNNISON","COLORADO",2018,"Condition of crop",38.13
"76","08057","JACKSON","COLORADO",2018,"Condition of crop",51.89
"77","08059","JEFFERSON","COLORADO",2018,"Condition of crop",43.19
"78","08063","KIT CARSON","COLORADO",2018,"Condition of crop",40.51
"79","08067","LA PLATA","COLORADO",2018,"Condition of crop",28.95
"80","08069","LARIMER","COLORADO",2018,"Condition of crop",30.36
"81","08075","LOGAN","COLORADO",2018,"Condition of crop",34.56
"82","08077","MESA","COLORADO",2018,"Condition of crop",37.65
"83","08081","MOFFAT","COLORADO",2018,"Condition of crop",28.22
"84","08083","MONTEZUMA","COLORADO",2018,"Condition of crop",41.14
"85","08085","MONTROSE","COLORADO",2018,"Condition of crop",35.21
"86","08087","MORGAN","COLORADO",2018,"Condition of crop",48.71
"87","08089","OTERO","COLORADO",2018,"Condition of crop",25.59
"88","08095","PHILLIPS","COLORADO",2018,"Condition of crop",26.7
"89","08099","PROWERS","COLORADO",2018,"Condition of crop",40.23
"90","08101","PUEBLO","COLORADO",2018,"Condition of crop",31.62
"91","08103","RIO BLANCO","COLORADO",2018,"Condition of crop",26.17
"92","08105","RIO GRANDE","COLORADO",2018,"Condition of crop",41.94
"93","08107","ROUTT","COLORADO",2018,"Condition of crop",28.33
"94","08109","SAGUACHE","COLORADO",2018,"Condition of crop",80.67
"95","08115","SEDGWICK","COLORADO",2018,"Condition of crop",31.52
"96","08121","WASHINGTON","COLORADO",2018,"Condition of crop",38.54
"97","08123","WELD","COLORADO",2018,"Condition of crop",42.93
"98","08125","YUMA","COLORADO",2018,"Condition of crop",31.7
"99","32001","CHURCHILL","NEVADA",2018,"Condition of crop",31.66
"100","32003","CLARK","NEVADA",2018,"Condition of crop",32.88
"101","32005","DOUGLAS","NEVADA",2018,"Condition of crop",32.46
"102","32007","ELKO","NEVADA",2018,"Condition of crop",29.12
"103","32011","EUREKA","NEVADA",2018,"Condition of crop",52.74
"104","32013","HUMBOLDT","NEVADA",2018,"Condition of crop",53.14
"105","32017","LINCOLN","NEVADA",2018,"Condition of crop",27.7
"106","32019","LYON","NEVADA",2018,"Condition of crop",40.37
"107","32023","NYE","NEVADA",2018,"Condition of crop",39.47
"108","32027","PERSHING","NEVADA",2018,"Condition of crop",30.77
"109","32031","WASHOE","NEVADA",2018,"Condition of crop",49.12
"110","32033","WHITE PINE","NEVADA",2018,"Condition of crop",49.46
"111","35001","BERNALILLO","NEW MEXICO",2018,"Condition of crop",22.29
"112","35005","CHAVES","NEW MEXICO",2018,"Condition of crop",45.54
"113","35009","CURRY","NEW MEXICO",2018,"Condition of crop",72.44
"114","35013","DONA ANA","NEW MEXICO",2018,"Condition of crop",33.97
"115","35015","EDDY","NEW MEXICO",2018,"Condition of crop",48.1
"116","35025","LEA","NEW MEXICO",2018,"Condition of crop",41.98
"117","35033","MORA","NEW MEXICO",2018,"Condition of crop",30.7
"118","35035","OTERO","NEW MEXICO",2018,"Condition of crop",31.27
"119","35037","QUAY","NEW MEXICO",2018,"Condition of crop",41.12
"120","35039","RIO ARRIBA","NEW MEXICO",2018,"Condition of crop",32.74
"121","35041","ROOSEVELT","NEW MEXICO",2018,"Condition of crop",55.19
"122","35043","SANDOVAL","NEW MEXICO",2018,"Condition of crop",36.34
"123","35045","SAN JUAN","NEW MEXICO",2018,"Condition of crop",41.82
"124","35047","SAN MIGUEL","NEW MEXICO",2018,"Condition of crop",17.49
"125","35049","SANTA FE","NEW MEXICO",2018,"Condition of crop",38.5
"126","35053","SOCORRO","NEW MEXICO",2018,"Condition of crop",31.44
"127","35055","TAOS","NEW MEXICO",2018,"Condition of crop",27.91
"128","35061","VALENCIA","NEW MEXICO",2018,"Condition of crop",25.54
"129","49003","BOX ELDER","UTAH",2018,"Condition of crop",30.6
"130","49005","CACHE","UTAH",2018,"Condition of crop",43.36
"131","49007","CARBON","UTAH",2018,"Condition of crop",38.56
"132","49011","DAVIS","UTAH",2018,"Condition of crop",40.2
"133","49013","DUCHESNE","UTAH",2018,"Condition of crop",35.83
"134","49015","EMERY","UTAH",2018,"Condition of crop",37.95
"135","49017","GARFIELD","UTAH",2018,"Condition of crop",25.55
"136","49021","IRON","UTAH",2018,"Condition of crop",41.62
"137","49023","JUAB","UTAH",2018,"Condition of crop",44.66
"138","49027","MILLARD","UTAH",2018,"Condition of crop",41.39
"139","49033","RICH","UTAH",2018,"Condition of crop",33.67
"140","49035","SALT LAKE","UTAH",2018,"Condition of crop",22.45
"141","49039","SANPETE","UTAH",2018,"Condition of crop",25.4
"142","49041","SEVIER","UTAH",2018,"Condition of crop",43.94
"143","49043","SUMMIT","UTAH",2018,"Condition of crop",35.01
"144","49045","TOOELE","UTAH",2018,"Condition of crop",36.53
"145","49047","UINTAH","UTAH",2018,"Condition of crop",36.64
"146","49049","UTAH","UTAH",2018,"Condition of crop",32.24
"147","49051","WASATCH","UTAH",2018,"Condition of crop",30.77
"148","49053","WASHINGTON","UTAH",2018,"Condition of crop",35.13
"149","49055","WAYNE","UTAH",2018,"Condition of crop",38.03
"150","49057","WEBER","UTAH",2018,"Condition of crop",32.55
"151","04001","APACHE","ARIZONA",2018,"Feel of the soil",8.94
"152","04003","COCHISE","ARIZONA",2018,"Feel of the soil",23.68
"153","04009","GRAHAM","ARIZONA",2018,"Feel of the soil",13.47
"154","04011","GREENLEE","ARIZONA",2018,"Feel of the soil",18.68
"155","04012","LA PAZ","ARIZONA",2018,"Feel of the soil",9.43
"156","04013","MARICOPA","ARIZONA",2018,"Feel of the soil",15.93
"157","04015","MOHAVE","ARIZONA",2018,"Feel of the soil",8.57
"158","04017","NAVAJO","ARIZONA",2018,"Feel of the soil",1.32
"159","04019","PIMA","ARIZONA",2018,"Feel of the soil",17.73
"160","04021","PINAL","ARIZONA",2018,"Feel of the soil",18.11
"161","04025","YAVAPAI","ARIZONA",2018,"Feel of the soil",25.79
"162","04027","YUMA","ARIZONA",2018,"Feel of the soil",17.42
"163","06001","ALAMEDA","CALIFORNIA",2018,"Feel of the soil",33.94
"164","06005","AMADOR","CALIFORNIA",2018,"Feel of the soil",13.77
"165","06007","BUTTE","CALIFORNIA",2018,"Feel of the soil",16.39
"166","06009","CALAVERAS","CALIFORNIA",2018,"Feel of the soil",24.19
"167","06011","COLUSA","CALIFORNIA",2018,"Feel of the soil",12.65
"168","06013","CONTRA COSTA","CALIFORNIA",2018,"Feel of the soil",25.12
"169","06017","EL DORADO","CALIFORNIA",2018,"Feel of the soil",18.56
"170","06019","FRESNO","CALIFORNIA",2018,"Feel of the soil",17.51
"171","06021","GLENN","CALIFORNIA",2018,"Feel of the soil",16.58
"172","06023","HUMBOLDT","CALIFORNIA",2018,"Feel of the soil",26.5
"173","06025","IMPERIAL","CALIFORNIA",2018,"Feel of the soil",27.29
"174","06027","INYO","CALIFORNIA",2018,"Feel of the soil",14.89
"175","06029","KERN","CALIFORNIA",2018,"Feel of the soil",17.97
"176","06031","KINGS","CALIFORNIA",2018,"Feel of the soil",17.91
"177","06033","LAKE","CALIFORNIA",2018,"Feel of the soil",8.65
"178","06035","LASSEN","CALIFORNIA",2018,"Feel of the soil",14.86
"179","06037","LOS ANGELES","CALIFORNIA",2018,"Feel of the soil",27.12
"180","06039","MADERA","CALIFORNIA",2018,"Feel of the soil",20.61
"181","06041","MARIN","CALIFORNIA",2018,"Feel of the soil",42.35
"182","06045","MENDOCINO","CALIFORNIA",2018,"Feel of the soil",19.7
"183","06047","MERCED","CALIFORNIA",2018,"Feel of the soil",17.34
"184","06049","MODOC","CALIFORNIA",2018,"Feel of the soil",22.56
"185","06051","MONO","CALIFORNIA",2018,"Feel of the soil",31.48
"186","06053","MONTEREY","CALIFORNIA",2018,"Feel of the soil",23.3
"187","06055","NAPA","CALIFORNIA",2018,"Feel of the soil",13.78
"188","06057","NEVADA","CALIFORNIA",2018,"Feel of the soil",18.6
"189","06059","ORANGE","CALIFORNIA",2018,"Feel of the soil",31.69
"190","06061","PLACER","CALIFORNIA",2018,"Feel of the soil",15.4
"191","06065","RIVERSIDE","CALIFORNIA",2018,"Feel of the soil",28.02
"192","06067","SACRAMENTO","CALIFORNIA",2018,"Feel of the soil",16.48
"193","06069","SAN BENITO","CALIFORNIA",2018,"Feel of the soil",16.52
"194","06071","SAN BERNARDINO","CALIFORNIA",2018,"Feel of the soil",8.93
"195","06073","SAN DIEGO","CALIFORNIA",2018,"Feel of the soil",21.28
"196","06077","SAN JOAQUIN","CALIFORNIA",2018,"Feel of the soil",14.83
"197","06079","SAN LUIS OBISPO","CALIFORNIA",2018,"Feel of the soil",14.2
"198","06081","SAN MATEO","CALIFORNIA",2018,"Feel of the soil",21.29
"199","06083","SANTA BARBARA","CALIFORNIA",2018,"Feel of the soil",27.44
"200","06085","SANTA CLARA","CALIFORNIA",2018,"Feel of the soil",18.36
"201","06087","SANTA CRUZ","CALIFORNIA",2018,"Feel of the soil",10.35
"202","06089","SHASTA","CALIFORNIA",2018,"Feel of the soil",18.84
"203","06093","SISKIYOU","CALIFORNIA",2018,"Feel of the soil",22.01
"204","06095","SOLANO","CALIFORNIA",2018,"Feel of the soil",19.43
"205","06097","SONOMA","CALIFORNIA",2018,"Feel of the soil",21.19
"206","06099","STANISLAUS","CALIFORNIA",2018,"Feel of the soil",15.67
"207","06101","SUTTER","CALIFORNIA",2018,"Feel of the soil",20.91
"208","06103","TEHAMA","CALIFORNIA",2018,"Feel of the soil",15.12
"209","06107","TULARE","CALIFORNIA",2018,"Feel of the soil",17.39
"210","06109","TUOLUMNE","CALIFORNIA",2018,"Feel of the soil",15.45
"211","06111","VENTURA","CALIFORNIA",2018,"Feel of the soil",21.93
"212","06113","YOLO","CALIFORNIA",2018,"Feel of the soil",19.92
"213","06115","YUBA","CALIFORNIA",2018,"Feel of the soil",22.13
"214","08001","ADAMS","COLORADO",2018,"Feel of the soil",2.26
"215","08003","ALAMOSA","COLORADO",2018,"Feel of the soil",30.93
"216","08007","ARCHULETA","COLORADO",2018,"Feel of the soil",23.2
"217","08013","BOULDER","COLORADO",2018,"Feel of the soil",19.22
"218","08021","CONEJOS","COLORADO",2018,"Feel of the soil",9.71
"219","08029","DELTA","COLORADO",2018,"Feel of the soil",15.3
"220","08039","ELBERT","COLORADO",2018,"Feel of the soil",20
"221","08041","EL PASO","COLORADO",2018,"Feel of the soil",35.42
"222","08043","FREMONT","COLORADO",2018,"Feel of the soil",5.79
"223","08045","GARFIELD","COLORADO",2018,"Feel of the soil",20.18
"224","08049","GRAND","COLORADO",2018,"Feel of the soil",30.88
"225","08051","GUNNISON","COLORADO",2018,"Feel of the soil",9.7
"226","08057","JACKSON","COLORADO",2018,"Feel of the soil",3.77
"227","08059","JEFFERSON","COLORADO",2018,"Feel of the soil",7.51
"228","08063","KIT CARSON","COLORADO",2018,"Feel of the soil",18.61
"229","08067","LA PLATA","COLORADO",2018,"Feel of the soil",8.18
"230","08069","LARIMER","COLORADO",2018,"Feel of the soil",19.33
"231","08075","LOGAN","COLORADO",2018,"Feel of the soil",19.13
"232","08077","MESA","COLORADO",2018,"Feel of the soil",13.62
"233","08081","MOFFAT","COLORADO",2018,"Feel of the soil",2.45
"234","08083","MONTEZUMA","COLORADO",2018,"Feel of the soil",20.74
"235","08085","MONTROSE","COLORADO",2018,"Feel of the soil",14.87
"236","08087","MORGAN","COLORADO",2018,"Feel of the soil",22.47
"237","08089","OTERO","COLORADO",2018,"Feel of the soil",11.04
"238","08095","PHILLIPS","COLORADO",2018,"Feel of the soil",15.62
"239","08099","PROWERS","COLORADO",2018,"Feel of the soil",9.2
"240","08101","PUEBLO","COLORADO",2018,"Feel of the soil",13.04
"241","08103","RIO BLANCO","COLORADO",2018,"Feel of the soil",18.55
"242","08105","RIO GRANDE","COLORADO",2018,"Feel of the soil",23.87
"243","08107","ROUTT","COLORADO",2018,"Feel of the soil",12.62
"244","08109","SAGUACHE","COLORADO",2018,"Feel of the soil",6.72
"245","08115","SEDGWICK","COLORADO",2018,"Feel of the soil",25
"246","08121","WASHINGTON","COLORADO",2018,"Feel of the soil",13.66
"247","08123","WELD","COLORADO",2018,"Feel of the soil",15.98
"248","08125","YUMA","COLORADO",2018,"Feel of the soil",19.29
"249","32001","CHURCHILL","NEVADA",2018,"Feel of the soil",16.4
"250","32003","CLARK","NEVADA",2018,"Feel of the soil",9.59
"251","32005","DOUGLAS","NEVADA",2018,"Feel of the soil",3.07
"252","32007","ELKO","NEVADA",2018,"Feel of the soil",20.62
"253","32011","EUREKA","NEVADA",2018,"Feel of the soil",22.6
"254","32013","HUMBOLDT","NEVADA",2018,"Feel of the soil",4
"255","32017","LINCOLN","NEVADA",2018,"Feel of the soil",18.71
"256","32019","LYON","NEVADA",2018,"Feel of the soil",12.4
"257","32023","NYE","NEVADA",2018,"Feel of the soil",11.18
"258","32027","PERSHING","NEVADA",2018,"Feel of the soil",17.44
"259","32031","WASHOE","NEVADA",2018,"Feel of the soil",15.49
"260","32033","WHITE PINE","NEVADA",2018,"Feel of the soil",10.75
"261","35001","BERNALILLO","NEW MEXICO",2018,"Feel of the soil",10.4
"262","35005","CHAVES","NEW MEXICO",2018,"Feel of the soil",11.79
"263","35009","CURRY","NEW MEXICO",2018,"Feel of the soil",21.15
"264","35013","DONA ANA","NEW MEXICO",2018,"Feel of the soil",17.96
"265","35015","EDDY","NEW MEXICO",2018,"Feel of the soil",19.04
"266","35025","LEA","NEW MEXICO",2018,"Feel of the soil",19.93
"267","35033","MORA","NEW MEXICO",2018,"Feel of the soil",0
"268","35035","OTERO","NEW MEXICO",2018,"Feel of the soil",18.73
"269","35037","QUAY","NEW MEXICO",2018,"Feel of the soil",28.04
"270","35039","RIO ARRIBA","NEW MEXICO",2018,"Feel of the soil",24.21
"271","35041","ROOSEVELT","NEW MEXICO",2018,"Feel of the soil",29.46
"272","35043","SANDOVAL","NEW MEXICO",2018,"Feel of the soil",22.25
"273","35045","SAN JUAN","NEW MEXICO",2018,"Feel of the soil",16.49
"274","35047","SAN MIGUEL","NEW MEXICO",2018,"Feel of the soil",23.97
"275","35049","SANTA FE","NEW MEXICO",2018,"Feel of the soil",20.86
"276","35053","SOCORRO","NEW MEXICO",2018,"Feel of the soil",11.33
"277","35055","TAOS","NEW MEXICO",2018,"Feel of the soil",15.95
"278","35061","VALENCIA","NEW MEXICO",2018,"Feel of the soil",15.82
"279","49003","BOX ELDER","UTAH",2018,"Feel of the soil",13.68
"280","49005","CACHE","UTAH",2018,"Feel of the soil",14.92
"281","49007","CARBON","UTAH",2018,"Feel of the soil",17.16
"282","49011","DAVIS","UTAH",2018,"Feel of the soil",16.47
"283","49013","DUCHESNE","UTAH",2018,"Feel of the soil",8.18
"284","49015","EMERY","UTAH",2018,"Feel of the soil",25.89
"285","49017","GARFIELD","UTAH",2018,"Feel of the soil",8.52
"286","49021","IRON","UTAH",2018,"Feel of the soil",14.88
"287","49023","JUAB","UTAH",2018,"Feel of the soil",21.34
"288","49027","MILLARD","UTAH",2018,"Feel of the soil",13.66
"289","49033","RICH","UTAH",2018,"Feel of the soil",12.66
"290","49035","SALT LAKE","UTAH",2018,"Feel of the soil",15.61
"291","49039","SANPETE","UTAH",2018,"Feel of the soil",9.48
"292","49041","SEVIER","UTAH",2018,"Feel of the soil",14.21
"293","49043","SUMMIT","UTAH",2018,"Feel of the soil",18.01
"294","49045","TOOELE","UTAH",2018,"Feel of the soil",9.58
"295","49047","UINTAH","UTAH",2018,"Feel of the soil",19.33
"296","49049","UTAH","UTAH",2018,"Feel of the soil",11.36
"297","49051","WASATCH","UTAH",2018,"Feel of the soil",15.38
"298","49053","WASHINGTON","UTAH",2018,"Feel of the soil",6.27
"299","49055","WAYNE","UTAH",2018,"Feel of the soil",15.21
"300","49057","WEBER","UTAH",2018,"Feel of the soil",12.21
"301","04001","APACHE","ARIZONA",2018,"Soil moisture sensor",0
"302","04003","COCHISE","ARIZONA",2018,"Soil moisture sensor",10.96
"303","04009","GRAHAM","ARIZONA",2018,"Soil moisture sensor",0
"304","04011","GREENLEE","ARIZONA",2018,"Soil moisture sensor",0
"305","04012","LA PAZ","ARIZONA",2018,"Soil moisture sensor",12.26
"306","04013","MARICOPA","ARIZONA",2018,"Soil moisture sensor",3.4
"307","04015","MOHAVE","ARIZONA",2018,"Soil moisture sensor",22.86
"308","04017","NAVAJO","ARIZONA",2018,"Soil moisture sensor",0
"309","04019","PIMA","ARIZONA",2018,"Soil moisture sensor",1.48
"310","04021","PINAL","ARIZONA",2018,"Soil moisture sensor",7.15
"311","04025","YAVAPAI","ARIZONA",2018,"Soil moisture sensor",0
"312","04027","YUMA","ARIZONA",2018,"Soil moisture sensor",1.02
"313","06001","ALAMEDA","CALIFORNIA",2018,"Soil moisture sensor",0
"314","06005","AMADOR","CALIFORNIA",2018,"Soil moisture sensor",0
"315","06007","BUTTE","CALIFORNIA",2018,"Soil moisture sensor",13.84
"316","06009","CALAVERAS","CALIFORNIA",2018,"Soil moisture sensor",0
"317","06011","COLUSA","CALIFORNIA",2018,"Soil moisture sensor",10.24
"318","06013","CONTRA COSTA","CALIFORNIA",2018,"Soil moisture sensor",1.63
"319","06017","EL DORADO","CALIFORNIA",2018,"Soil moisture sensor",14.43
"320","06019","FRESNO","CALIFORNIA",2018,"Soil moisture sensor",10.43
"321","06021","GLENN","CALIFORNIA",2018,"Soil moisture sensor",12.38
"322","06023","HUMBOLDT","CALIFORNIA",2018,"Soil moisture sensor",0
"323","06025","IMPERIAL","CALIFORNIA",2018,"Soil moisture sensor",7.57
"324","06027","INYO","CALIFORNIA",2018,"Soil moisture sensor",0
"325","06029","KERN","CALIFORNIA",2018,"Soil moisture sensor",18.21
"326","06031","KINGS","CALIFORNIA",2018,"Soil moisture sensor",15.53
"327","06033","LAKE","CALIFORNIA",2018,"Soil moisture sensor",0
"328","06035","LASSEN","CALIFORNIA",2018,"Soil moisture sensor",6.81
"329","06037","LOS ANGELES","CALIFORNIA",2018,"Soil moisture sensor",11.97
"330","06039","MADERA","CALIFORNIA",2018,"Soil moisture sensor",15.23
"331","06041","MARIN","CALIFORNIA",2018,"Soil moisture sensor",0
"332","06045","MENDOCINO","CALIFORNIA",2018,"Soil moisture sensor",14.59
"333","06047","MERCED","CALIFORNIA",2018,"Soil moisture sensor",11.33
"334","06049","MODOC","CALIFORNIA",2018,"Soil moisture sensor",7.76
"335","06051","MONO","CALIFORNIA",2018,"Soil moisture sensor",10.49
"336","06053","MONTEREY","CALIFORNIA",2018,"Soil moisture sensor",10.22
"337","06055","NAPA","CALIFORNIA",2018,"Soil moisture sensor",10.9
"338","06057","NEVADA","CALIFORNIA",2018,"Soil moisture sensor",4.55
"339","06059","ORANGE","CALIFORNIA",2018,"Soil moisture sensor",4.93
"340","06061","PLACER","CALIFORNIA",2018,"Soil moisture sensor",4.41
"341","06065","RIVERSIDE","CALIFORNIA",2018,"Soil moisture sensor",9.69
"342","06067","SACRAMENTO","CALIFORNIA",2018,"Soil moisture sensor",7.89
"343","06069","SAN BENITO","CALIFORNIA",2018,"Soil moisture sensor",13.57
"344","06071","SAN BERNARDINO","CALIFORNIA",2018,"Soil moisture sensor",3.07
"345","06073","SAN DIEGO","CALIFORNIA",2018,"Soil moisture sensor",12
"346","06077","SAN JOAQUIN","CALIFORNIA",2018,"Soil moisture sensor",11.23
"347","06079","SAN LUIS OBISPO","CALIFORNIA",2018,"Soil moisture sensor",14.12
"348","06081","SAN MATEO","CALIFORNIA",2018,"Soil moisture sensor",3.23
"349","06083","SANTA BARBARA","CALIFORNIA",2018,"Soil moisture sensor",8.7
"350","06085","SANTA CLARA","CALIFORNIA",2018,"Soil moisture sensor",1.41
"351","06087","SANTA CRUZ","CALIFORNIA",2018,"Soil moisture sensor",6.45
"352","06089","SHASTA","CALIFORNIA",2018,"Soil moisture sensor",4.93
"353","06093","SISKIYOU","CALIFORNIA",2018,"Soil moisture sensor",3.42
"354","06095","SOLANO","CALIFORNIA",2018,"Soil moisture sensor",8.93
"355","06097","SONOMA","CALIFORNIA",2018,"Soil moisture sensor",8.6
"356","06099","STANISLAUS","CALIFORNIA",2018,"Soil moisture sensor",9.17
"357","06101","SUTTER","CALIFORNIA",2018,"Soil moisture sensor",7.93
"358","06103","TEHAMA","CALIFORNIA",2018,"Soil moisture sensor",10.62
"359","06107","TULARE","CALIFORNIA",2018,"Soil moisture sensor",10.31
"360","06109","TUOLUMNE","CALIFORNIA",2018,"Soil moisture sensor",0
"361","06111","VENTURA","CALIFORNIA",2018,"Soil moisture sensor",12.79
"362","06113","YOLO","CALIFORNIA",2018,"Soil moisture sensor",14.89
"363","06115","YUBA","CALIFORNIA",2018,"Soil moisture sensor",7.21
"364","08001","ADAMS","COLORADO",2018,"Soil moisture sensor",0
"365","08003","ALAMOSA","COLORADO",2018,"Soil moisture sensor",0
"366","08007","ARCHULETA","COLORADO",2018,"Soil moisture sensor",0
"367","08013","BOULDER","COLORADO",2018,"Soil moisture sensor",0
"368","08021","CONEJOS","COLORADO",2018,"Soil moisture sensor",0
"369","08029","DELTA","COLORADO",2018,"Soil moisture sensor",2.29
"370","08039","ELBERT","COLORADO",2018,"Soil moisture sensor",1.38
"371","08041","EL PASO","COLORADO",2018,"Soil moisture sensor",3.33
"372","08043","FREMONT","COLORADO",2018,"Soil moisture sensor",0
"373","08045","GARFIELD","COLORADO",2018,"Soil moisture sensor",0.38
"374","08049","GRAND","COLORADO",2018,"Soil moisture sensor",0
"375","08051","GUNNISON","COLORADO",2018,"Soil moisture sensor",0
"376","08057","JACKSON","COLORADO",2018,"Soil moisture sensor",0
"377","08059","JEFFERSON","COLORADO",2018,"Soil moisture sensor",1.88
"378","08063","KIT CARSON","COLORADO",2018,"Soil moisture sensor",14.96
"379","08067","LA PLATA","COLORADO",2018,"Soil moisture sensor",0.64
"380","08069","LARIMER","COLORADO",2018,"Soil moisture sensor",3.47
"381","08075","LOGAN","COLORADO",2018,"Soil moisture sensor",5.37
"382","08077","MESA","COLORADO",2018,"Soil moisture sensor",0.7
"383","08081","MOFFAT","COLORADO",2018,"Soil moisture sensor",0
"384","08083","MONTEZUMA","COLORADO",2018,"Soil moisture sensor",0.08
"385","08085","MONTROSE","COLORADO",2018,"Soil moisture sensor",1.9
"386","08087","MORGAN","COLORADO",2018,"Soil moisture sensor",0.4
